Rk,Year,Region,Round,PTS,OPTS,OT?,Diff,Seed,School,OpponentSeed,Opponent,
185,1999,West,First Round,75,63,,12,10,Gonzaga,7 ,Minnesota,
186,1999,West,First Round,61,59,,2,9 ,New Mexico,8 ,Missouri,
187,1999,South,First Round,69,61,,8,9 ,Oklahoma State,8 ,Syracuse,
188,1998,South,First Round,51,46,,5,10,Saint Louis,7 ,UMass,
189,1998,Midwest,First Round,66,64,,2,10,Detroit,7 ,St. John's (NY),
190,1998,Midwest,First Round,96,87,,9,12,Florida State,5 ,TCU,
191,1998,Midwest,First Round,70,69,,1,13,Valparaiso,4 ,Ole Miss,
192,1998,Midwest,First Round,75,72,,3,11,Western Michigan,6 ,Clemson,
193,1998,East,First Round,62,61,,1,14,Richmond,3 ,South Carolina,
194,1998,East,First Round,69,68,,1,11,Washington,6 ,Xavier,
195,1998,West,First Round,82,81,OT,1,9 ,Illinois State,8 ,Tennessee,
196,1998,West,First Round,82,52,,30,10,West Virginia,7 ,Temple,
197,1997,East,First Round,71,58,,13,10,Texas,7 ,Wisconsin,
198,1997,Midwest,First Round,62,40,,22,9 ,Temple,8 ,Ole Miss,
199,1997,Southeast,First Round,73,70,,3,14,Chattanooga,3 ,Georgia,
200,1997,East,First Round,78,65,,13,15,Coppin State,2 ,South Carolina,
201,1997,East,First Round,71,58,,13,10,Texas,7,Wisconsin,
202,1997,Southeast,First Round,75,66,,9,12,College of Charleston,5,Maryland,
203,1997,East,First Round,80,62,,18,9 ,Colorado,8,Indiana,
204,1996,Southeast,First Round,64,51,,13,11,Boston College,6,Indiana,
205,1996,West,First Round,91,79,,12,10,Santa Clara,7,Maryland,
206,1996,Midwest,First Round,80,76,,4,10,Texas,7,Michigan,
207,1996,East,First Round,86,80,,6,12,Arkansas,5,Penn State,
208,1996,West,First Round,75,63,,12,12,Drexel,5,Memphis,
209,1996,Southeast,First Round,75,60,,15,9 ,Eastern Michigan,8,Duke,
210,1996,Southeast,First Round,43,41,,2,13,Princeton,4,UCLA,
211,1996,East,First Round,66,58,,8,9 ,Stanford,8,Bradley,
212,1996,Midwest,First Round,61,48,,13,9 ,Virginia Tech,8,Green Bay,
213,1995,East,First Round,89,81,3OT,8,14,Old Dominion,3,Villanova,
214,1995,East,First Round,70,68,,2,10,Stanford,7,Charlotte,
215,1995,Southeast,First Round,79,72,,7,14,Weber State,3,Michigan State,
216,1995,Southeast,First Round,77,67,,10,13,Manhattan,4,Oklahoma,
217,1995,Midwest,First Round,71,62,,9,12,Miami (OH),5,Arizona,
218,1995,East,First Round,64,61,OT,3,9 ,Saint Louis,8,Minnesota,
219,1995,West,First Round,90,73,,17,11,Texas,6,Oregon,
220,1995,Southeast,First Round,76,70,,6,9 ,Tulane,8,BYU,
221,1994,East,First Round,67,64,,3,9 ,Boston College,8,Washington State,
222,1994,Midwest,First Round,84,77,,7,9 ,Georgetown,8,Illinois,
223,1994,Midwest,First Round,112,102,,10,12,Tulsa,5,UCLA,
224,1994,Southeast,First Round,76,70,,6,9 ,Alabama,8,Providence,
225,1994,East,First Round,51,46,,5,10,George Washington,7,Alabama-Birmingham,
226,1994,West,First Round,61,57,,4,12,Green Bay,5,California,
227,1994,Midwest,First Round,74,66,,8,10,Maryland,7,Saint Louis,
228,1994,East,First Round,90,80,,10,11,Penn,6,Nebraska,
229,1994,West,First Round,80,72,,8,9 ,Wisconsin,8,Cincinnati,
230,1993,West,First Round,82,68,,14,12,George Washington,5,New Mexico,
231,1993,West,First Round,93,78,,15,13,Southern,4,Georgia Tech,
232,1993,West,First Round,81,70,,11,9 ,UCLA,8,Iowa State,
233,1993,Midwest,First Round,73,55,,18,9 ,Xavier,8,New Orleans,
234,1993,West,First Round,64,61,,3,15,Santa Clara,2,Arizona,
235,1993,Southeast,First Round,55,53,,2,11,Tulane,6,Kansas State,
236,1992,Southeast,First Round,87,80,,7,14,ETSU,3,Arizona,
237,1992,East,First Round,76,74,,2,10,Iowa State,7,Charlotte,
238,1992,West,First Round,87,83,,4,13,Louisiana,4,Oklahoma,
239,1992,West,First Round,81,73,,8,12,New Mexico State,5,DePaul,
240,1992,Midwest,First Round,55,50,,5,9 ,UTEP,8,Evansville,
241,1992,Southeast,First Round,61,57,,4,10,Tulane,7,St. John's (NY),
242,1992,Southeast,First Round,86,65,,21,9 ,UConn,8,Nebraska,
243,1992,East,First Round,98,92,,6,9 ,Iowa,8,Texas,
244,1991,East,First Round,76,56,,20,12,Eastern Michigan,5,Mississippi State,
245,1991,East,First Round,74,69,,5,13,Penn State,4,UCLA,
246,1991,East,First Round,50,48,,2,9 ,Villanova,8,Princeton,
247,1991,West,First Round,61,48,,13,10,BYU,7,Virginia,
248,1991,Midwest,First Round,79,62,,17,11,UConn,6,LSU,
249,1991,West,First Round,64,56,,8,11,Creighton,6,New Mexico State,
250,1991,East,First Round,73,69,,4,15,Richmond,2,Syracuse,
251,1991,East,First Round,80,63,,17,10,Temple,7,Purdue,
252,1991,Midwest,First Round,89,84,,5,14,Xavier,3,Nebraska,
253,1990,West,First Round,111,92,,19,11,Loyola Marymount,6,New Mexico State,
254,1990,Southeast,First Round,74,71,,3,14,Northern Iowa,3,Missouri,
255,1990,Midwest,First Round,100,88,,12,10,Texas,7,Georgia,
256,1990,West,First Round,54,53,,1,12,Ball State,5,Oregon State,
257,1990,East,First Round,65,63,,2,9 ,California,8,Indiana,
258,1990,Southeast,First Round,70,66,,4,9 ,UCSB,8,Houston,
259,1990,Midwest,First Round,88,86,,2,12,Dayton,5,Illinois,
260,1989,Midwest,First Round,68,46,,22,10,Colorado State,7,Florida,
261,1989,West,First Round,94,90,OT,4,11,Evansville,6,Oregon State,
262,1989,East,First Round,81,65,,16,9 ,Notre Dame,8,Vanderbilt,
263,1989,Southeast,First Round,86,84,,2,11,South Alabama,6,Alabama,
264,1989,Midwest,First Round,76,70,,6,11,Texas,6,Georgia Tech,
265,1989,Midwest,First Round,68,64,,4,9 ,Ball State,8,Pitt,
266,1989,West,First Round,83,70,,13,9 ,Clemson,8,Saint Mary's,
267,1989,West,First Round,66,63,,3,12,DePaul,5,Memphis,
268,1989,Southeast,First Round,83,74,,9,9 ,Louisiana Tech,8,La Salle,
269,1989,Southeast,First Round,97,83,,14,13,Middle Tennessee,4,Florida State,
270,1989,East,First Round,86,75,,11,11,Minnesota,6,Kansas State,
271,1989,East,First Round,80,78,,2,14,Siena,3,Stanford,
272,1988,Midwest,First Round,78,75,,3,14,Murray State,3,NC State,
273,1988,East,First Round,72,69,,3,13,Richmond,4,Indiana,
274,1988,West,First Round,119,115,,4,10,Loyola Marymount,7,Wyoming,
275,1988,Midwest,First Round,75,60,,15,9 ,Memphis,8,Baylor,
276,1988,East,First Round,87,80,,7,11,Rhode Island,6,Missouri,
277,1987,Midwest,First Round,85,79,,6,10,LSU,7,Georgia Tech,
278,1987,Southeast,First Round,65,60,,5,13,Missouri State,4,Clemson,
279,1987,Southeast,First Round,91,77,,14,9 ,Ohio State,8,Kentucky,
280,1987,East,First Round,64,62,,2,10,Western Kentucky,7,West Virginia,
281,1987,Southeast,First Round,68,67,,1,14,Austin Peay,3,Illinois,
282,1987,West,First Round,82,79,OT,3,9 ,Kansas State,8,Georgia,
283,1987,East,First Round,97,82,,15,9 ,Michigan,8,Navy,
284,1987,West,First Round,64,60,,4,12,Wyoming,5,Virginia,
285,1987,Midwest,First Round,70,69,,1,13,Xavier,4,Missouri,
286,1986,Midwest,First Round,90,83,,7,14,Little Rock,3,Notre Dame,
287,1986,East,First Round,83,79,,4,14,Cleveland State,3,Indiana,
288,1986,East,First Round,72,68,,4,12,DePaul,5,Virginia,
289,1986,Southeast,First Round,94,87,2OT,7,11,LSU,6,Purdue,
290,1986,Midwest,First Round,61,50,OT,11,9 ,Temple,8,Jacksonville,
291,1986,Southeast,First Round,71,62,,9,10,Villanova,7,Virginia Tech,
292,1985,Midwest,First Round,55,53,,2,11,Boston College,6,Texas Tech,
293,1985,Southeast,First Round,78,55,,23,13,Navy,4,LSU,
294,1985,West,First Round,79,75,,4,11,UTEP,6,Tulsa,
295,1985,West,First Round,63,54,,9,9 ,Arkansas,8,Iowa,
296,1985,Southeast,First Round,59,58,,1,11,Auburn,6,Purdue,
297,1985,Midwest,First Round,58,55,,3,9 ,Illinois State,8,USC,
298,1985,West,First Round,66,58,,8,12,Kentucky,5,Washington,
