Year,Round,PTS,OPTS,Diff,Seed,School,OpponentSeed,Opponent
1991,First Round,79,62,17,11,UConn,6,LSU
1991,First Round,64,56,8,11,Creighton,6,New Mexico State
1991,First Round,73,69,4,15,Richmond,2,Syracuse
1991,First Round,80,63,17,10,Temple,7,Purdue
1991,First Round,89,84,5,14,Xavier,3,Nebraska
1990,First Round,111,92,19,11,Loyola Marymount,6,New Mexico State
1990,First Round,74,71,3,14,Northern Iowa,3,Missouri
1990,First Round,100,88,12,10,Texas,7,Georgia
1990,First Round,54,53,1,12,Ball State,5,Oregon State
1990,First Round,65,63,2,9 ,California,8,Indiana
1990,First Round,70,66,4,9 ,UCSB,8,Houston
1990,First Round,88,86,2,12,Dayton,5,Illinois
1989,First Round,68,46,22,10,Colorado State,7,Florida
1989,First Round,94,90,4,11,Evansville,6,Oregon State
1989,First Round,81,65,16,9 ,Notre Dame,8,Vanderbilt
1989,First Round,86,84,2,11,South Alabama,6,Alabama
1989,First Round,76,70,6,11,Texas,6,Georgia Tech
1989,First Round,68,64,4,9 ,Ball State,8,Pitt
1989,First Round,83,70,13,9 ,Clemson,8,Saint Mary's
1989,First Round,66,63,3,12,DePaul,5,Memphis
1989,First Round,83,74,9,9 ,Louisiana Tech,8,La Salle
1989,First Round,97,83,14,13,Middle Tennessee,4,Florida State
1989,First Round,86,75,11,11,Minnesota,6,Kansas State
1989,First Round,80,78,2,14,Siena,3,Stanford
1988,First Round,78,75,3,14,Murray State,3,NC State
1988,First Round,72,69,3,13,Richmond,4,Indiana
1988,First Round,119,115,4,10,Loyola Marymount,7,Wyoming
1988,First Round,75,60,15,9 ,Memphis,8,Baylor
1988,First Round,87,80,7,11,Rhode Island,6,Missouri
1987,First Round,85,79,6,10,LSU,7,Georgia Tech
1987,First Round,65,60,5,13,Missouri State,4,Clemson
1987,First Round,91,77,14,9 ,Ohio State,8,Kentucky
1987,First Round,64,62,2,10,Western Kentucky,7,West Virginia
1987,First Round,68,67,1,14,Austin Peay,3,Illinois
1987,First Round,82,79,3,9 ,Kansas State,8,Georgia
1987,First Round,97,82,15,9 ,Michigan,8,Navy
1987,First Round,64,60,4,12,Wyoming,5,Virginia
1987,First Round,70,69,1,13,Xavier,4,Missouri
1986,First Round,90,83,7,14,Little Rock,3,Notre Dame
1986,First Round,83,79,4,14,Cleveland State,3,Indiana
1986,First Round,72,68,4,12,DePaul,5,Virginia
1986,First Round,94,87,7,11,LSU,6,Purdue
1986,First Round,61,50,11,9 ,Temple,8,Jacksonville
1986,First Round,71,62,9,10,Villanova,7,Virginia Tech
1985,First Round,55,53,2,11,Boston College,6,Texas Tech
1985,First Round,78,55,23,13,Navy,4,LSU
1985,First Round,79,75,4,11,UTEP,6,Tulsa
1985,First Round,63,54,9,9 ,Arkansas,8,Iowa
1985,First Round,59,58,1,11,Auburn,6,Purdue
1985,First Round,58,55,3,9 ,Illinois State,8,USC
1985,First Round,66,58,8,12,Kentucky,5,Washington
